URL,(GDELT ONLINE),,Title,,,,
https://www.nbcnews.com/news/asian-america/asian-americans-report-nearly-500-racist-acts-over-last-week-n1169821?cid=public-rss_20200327,,3/27/2020 1:00,"Asian Americans report over 650 racist acts over last week , new data says",,,,
https://www.forbes.com/sites/tamarathiessen/2020/02/11/france-in-grips-of-racism-epidemic-as-coronavirus-fans-anti-asian-hysteria/,,2/11/2020 14:00,"France In Grips Of Racism Epidemic , As Coronavirus Fans Anti - Asian Hysteria",,,,
https://www.aljazeera.com/indepth/opinion/anti-asian-racism-stopped-normalised-200412103717485.html,,4/12/2020 19:45,Anti - Asian racism must be stopped before it is normalised,,,,
https://www.sandiegouniontribune.com/columnists/story/2020-03-29/history-has-shown-that-using-fear-as-an-excuse-for-racism-during-times-of-crisis-is-wrong-move,,3/29/2020 12:30,History has shown that using fear as an excuse for racism during times of crisis is wrong move,,,,
https://www.newsday.com/opinion/commentary/coronavirus-epidemic-china-hunan-wuhan-stigma-xenophobia-1.41781321,,2/15/2020 21:30,"As new coronavirus spreads , another epidemic looms",,,,
http://humanitariannews.org/20200324/world-states-should-take-action-against-covid-19-related-expressions-xenophobia-says-un-exp,,3/24/2020 0:00,"World : States should take action against COVID - 19 - related expressions of xenophobia , says UN expert",,,,
https://www.buzzfeed.com/cameronwilson/racism-coronavirus-media-chinese-australians,,1/30/2020 6:00,"People Are Sharing Racist Coronavirus Posts , Hoaxes And Memes",,,,
https://www.washingtonpost.com/outlook/2020/02/04/2003-sars-outbreak-fueled-anti-asian-racism-this-pandemic-doesnt-have/,,2/4/2020 11:45,The 2003 SARS outbreak fueled anti - Asian racism . This pandemic doesnt have to . ,,,,
https://www.latimes.com/entertainment-arts/story/2020-03-20/coronavirus-racism-asian-americans-celebrities,,3/20/2020 20:30,"Coronavirus : Daniel Dae Kim , Lana Condor slam anti - Asian bigotry",,,,
https://www.heraldtribune.com/opinion/20200213/being-asian-is-not-viral,,2/13/2020 11:45,Being Asian is not viral - Opinion - Sarasota Herald - Tribune,,,,
http://www.enstarz.com/articles/212460/20200327/dont-blame-asians-mark-ruffalo-cardi-b-celebs-fight-xenophobia.htm,,3/30/2020 8:30,"Dont Blame Asians : Mark Ruffalo , Cardi B , Other Celebs Fight Xenophobia Amid COVID - 19 Crisis",,,,
https://www.dailytarheel.com/article/2020/04/racism-coronavirus-0402,,4/2/2020 5:00,"  Ive heard all the stereotype : Students , alumni respond to COVID - 19 - related racism",,,,
https://wibailoutpeople.org/2020/03/31/apala-releases-guidance-on-protecting-workers-from-xenophobia-amid-coronavirus-outbreak/,,3/31/2020 22:30,APALA releases guidance on protecting workers from xenophobia amid coronavirus outbreak,,,,
https://www.npr.org/sections/coronavirus-live-updates/2020/03/27/822187627/new-site-collects-reports-of-anti-asian-american-sentiment-amid-coronavirus-pand,,3/27/2020 14:30,New Site Collects Reports Of Anti - Asian American Sentiment Amid Coronavirus Pandemic,,,,
https://www.sfexaminer.com/opinion/as-new-coronavirus-spreads-another-epidemic-looms-yellow-peril-racism/,,2/13/2020 14:00,"As new coronavirus spreads , another epidemic looms :  yellow peril  racism – The San Francisco Examiner",,,,
https://www.sfexaminer.com/opinion/as-new-coronavirus-spreads-another-epidemic-looms-yellow-peril-racism/amp/,,2/13/2020 10:00,"As new coronavirus spreads , another epidemic looms :  yellow peril  racism",,,,
https://www.thecollegefix.com/the-new-urgency-teaching-about-coronavirus-fueled-racism/,,4/3/2020 0:30,The new  urgency : teaching about coronavirus - fueled racism,,,,
https://www.alternet.org/2020/03/gop-leader-kevin-mccarthys-colleagues-demand-he-apologize-for-racist-coronavirus-tweet/,,3/12/2020 2:00,GOP leader Kevin McCarthy colleagues demand he apologize for racist coronavirus tweet,,,,
https://www.breitbart.com/tech/2020/03/30/u-of-texas-dean-saying-chinese-virus-inspires-hate-crimes/,,3/30/2020 20:00,U . of Texas Dean : Saying  Chinese Viru Inspires Hate Crimes,,,,
https://www.breitbart.com/health/2020/03/30/u-of-texas-dean-saying-chinese-virus-inspires-hate-crimes/,,3/30/2020 22:00,U . of Texas Dean : Saying  Chinese Viru Inspires Hate Crimes,,,,
https://www.highlandernews.org/37558/the-true-coronavirus-pandemic-is-the-spread-of-racism-and-xenophobia-through-the-media/,,2/11/2020 18:45,The true  coronavirus pandemic  is the spread of racism and xenophobia through the media,,,,
https://www.powerlineblog.com/archives/2020/03/civil-rights-commission-denounces-chinese-virus.php,,3/20/2020 22:15,Civil Rights Commission Denounces  Chinese Virus  ,,,,
https://bringmethenews.com/minnesota-news/hotline-to-report-discrimination-amid-covid-19-outbreak-launched-in-minnesota,,4/6/2020 17:15,Helpline to report discrimination amid COVID - 19 outbreak launched in Minnesota,,,,
https://www.oann.com/democrat-hypocrisy-chinese-virus-is-racist-russian-collusion-okay/,,4/2/2020 19:30,"Democrat Hypocrisy :  Chinese viru is  racist ,  Russian collusion  okay",,,,
https://www.salon.com/2020/03/11/colleagues-demand-gop-leader-kevin-mccarthy-apologize-for-racist-coronavirus-tweet-its-dangerous/,,3/12/2020 2:30,Colleagues demand GOP leader Kevin McCarthy apologize for racist coronavirus tweet :  It dangerous  ,,,,
﻿URL,MatchDateTime,Station,Show,IAShowID,IAPreviewThumb,Snippet,(GDELT ALT MEDIA)
https://archive.org/details/MSNBCW_20200412_230000_Kasie_DC#start/3359/end/3394,4/12/2020 23:56,MSNBC,Kasie DC,MSNBCW_20200412_230000_Kasie_DC,https://archive.org/download/MSNBCW_20200412_230000_Kasie_DC/MSNBCW_20200412_230000_Kasie_DC.thumbs/MSNBCW_20200412_230000_Kasie_DC_003357.jpg,"and it is not a surprise to those communities and what have you here with covid-19 is that it has exposed this really ugly nasty truth. but before we can even deal with healthcare, the healthcare system and the racial",
https://archive.org/details/MSNBCW_20200412_210000_PoliticsNation#start/2532/end/2567,4/12/2020 21:42,MSNBC,PoliticsNation,MSNBCW_20200412_210000_PoliticsNation,https://archive.org/download/MSNBCW_20200412_210000_PoliticsNation/MSNBCW_20200412_210000_PoliticsNation.thumbs/MSNBCW_20200412_210000_PoliticsNation_002519.jpg,"very strong advocate, and friends along with, as i said, 400 physicians demanding that hh secretary azar release the racial data surrounding covid-19. the letter reading in part,",
